Código FIPE,Modelo,Ano,Mês de Referência,Preço
021202-4,C-200 Kompressor Classic 1.8 16V Aut.,2009,junho de 2021 ,"R$ 47.955,00"
021143-5,C-200 Sportcoupé Komp. 2.0 16V 163cv Aut,2002,novembro de 2021 ,"R$ 35.880,00"
021202-4,C-200 Kompressor Classic 1.8 16V Aut.,2009,março de 2021 ,"R$ 46.368,00"
021202-4,C-200 Kompressor Classic 1.8 16V Aut.,2009,julho de 2021 ,"R$ 48.749,00"
021076-5,C-200 Classic/Sport,1993,fevereiro de 2020 ,"R$ 13.264,00"
021142-7,C-200 Touring Komp. 2.0 16V 163cv 5p Aut,2002,agosto de 2021 ,"R$ 35.376,00"
021210-5,C-200 Touring Komp. Avant. 1.8 16V Aut.,2009,dezembro de 2020 ,"R$ 57.834,00"
021202-4,C-200 Kompressor Classic 1.8 16V Aut.,2009,abril de 2021 ,"R$ 47.100,00"
021002-1,C-220 Classic/Elegance/Sport,1995,março de 2021 ,"R$ 24.039,00"
021210-5,C-200 Touring Komp. Avant. 1.8 16V Aut.,2009,novembro de 2020 ,"R$ 58.119,00"
021210-5,C-200 Touring Komp. Avant. 1.8 16V Aut.,2009,outubro de 2020 ,"R$ 56.924,00"
021210-5,C-200 Touring Komp. Avant. 1.8 16V Aut.,2009,setembro de 2020 ,"R$ 55.754,00"
021002-1,C-220 Classic/Elegance/Sport,1995,fevereiro de 2021 ,"R$ 23.586,00"
021002-1,C-220 Classic/Elegance/Sport,1995,janeiro de 2021 ,"R$ 23.504,00"
021002-1,C-220 Classic/Elegance/Sport,1995,dezembro de 2020 ,"R$ 23.117,00"
021003-0,C-230 Kompressor Avantgarde,2004,junho de 2021 ,"R$ 40.911,00"
021077-3,C-230 Sport/ Eleg./Touring Eleg.Plus 2.3,1998,julho de 2021 ,"R$ 26.868,00"
021003-0,C-230 Kompressor Avantgarde,2004,dezembro de 2021 ,"R$ 41.642,00"
021003-0,C-230 Kompressor Avantgarde,2000,julho de 2021 ,"R$ 25.897,00"
021003-0,C-230 Kompressor Avantgarde,2000,maio de 2021 ,"R$ 25.144,00"
021077-3,C-230 Sport/ Eleg./Touring Eleg.Plus 2.3,1998,setembro de 2021 ,"R$ 28.529,00"
021003-0,C-230 Kompressor Avantgarde,2004,abril de 2021 ,"R$ 36.415,00"
021003-0,C-230 Kompressor Avantgarde,2000,dezembro de 2020 ,"R$ 25.315,00"
021003-0,C-230 Kompressor Avantgarde,2000,fevereiro de 2021 ,"R$ 25.243,00"
021119-2,C-240 AvantGarde 2.4/ 2.6 4p,2003,março de 2021 ,"R$ 34.997,00"
021119-2,C-240 AvantGarde 2.4/ 2.6 4p,2003,fevereiro de 2021 ,"R$ 34.389,00"
021040-4,C-240 Elegance 2.4,2002,junho de 2020 ,"R$ 31.647,00"
021022-6,C-230 Touring Kompressor,2000,julho de 2020 ,"R$ 27.336,00"
021001-3,C-180 Classic/Classic Plus/Elegance,1994,agosto de 2020 ,"R$ 16.884,00"
021077-3,C-230 Sport/ Eleg./Touring Eleg.Plus 2.3,1998,agosto de 2021 ,"R$ 27.750,00"
021120-6,C-240 Elegance 2.4 V6 24v 4p Aut.,2003,abril de 2021 ,"R$ 36.695,00"
021050-1,C-240 Classic,2000,fevereiro de 2021 ,"R$ 24.894,00"
021022-6,C-230 Touring Kompressor,2000,maio de 2020 ,"R$ 27.414,00"
021022-6,C-230 Touring Kompressor,1999,junho de 2020 ,"R$ 26.322,00"
021192-3,C-230 Touring Avant. 2.5 24V 204cv Aut.,2006,fevereiro de 2021 ,"R$ 53.569,00"
021077-3,C-230 Sport/ Eleg./Touring Eleg.Plus 2.3,1997,junho de 2021 ,"R$ 25.654,00"
021077-3,C-230 Sport/ Eleg./Touring Eleg.Plus 2.3,1997,outubro de 2021 ,"R$ 28.555,00"
021050-1,C-240 Classic,1999,maio de 2021 ,"R$ 23.382,00"
021120-6,C-240 Elegance 2.4 V6 24v 4p Aut.,2002,março de 2021 ,"R$ 34.215,00"
021003-0,C-230 Kompressor Avantgarde,1999,janeiro de 2021 ,"R$ 23.925,00"
021022-6,C-230 Touring Kompressor,1999,abril de 2020 ,"R$ 26.396,00"
021040-4,C-240 Elegance 2.4,2001,abril de 2020 ,"R$ 30.101,00"
021050-1,C-240 Classic,1998,março de 2021 ,"R$ 20.826,00"
021381-0,C-250 Avantgarde 2.0 TB 211cv Aut.,2018,agosto de 2020 ,"R$ 143.888,00"
021381-0,C-250 Avantgarde 2.0 TB 211cv Aut.,2017,dezembro de 2020 ,"R$ 144.621,00"
021040-4,C-240 Elegance 2.4,2000,maio de 2020 ,"R$ 25.545,00"
021309-8,C-250 Sport 2.0 16V 211cv Aut.,2016,janeiro de 2020 ,"R$ 145.550,00"
021286-5,C-250 CGI Sport Coupe 1.8 16V TB Aut.,2013,maio de 2020 ,"R$ 91.392,00"
021309-8,C-250 Sport 2.0 16V 211cv Aut.,2016,fevereiro de 2020 ,"R$ 143.796,00"
021203-2,C-280 Avantgarde 3.0 V6 231cv Aut.,2008,abril de 2021 ,"R$ 48.949,00"
021286-5,C-250 CGI Sport Coupe 1.8 16V TB Aut.,2013,abril de 2020 ,"R$ 92.565,00"
021203-2,C-280 Avantgarde 3.0 V6 231cv Aut.,2008,fevereiro de 2021 ,"R$ 47.465,00"
021203-2,C-280 Avantgarde 3.0 V6 231cv Aut.,2008,março de 2021 ,"R$ 48.415,00"
021350-0,C-250 Sport Coupe 2.0 16V 211cv Aut.,2018,novembro de 2021 ,"R$ 271.532,00"
021350-0,C-250 Sport Coupe 2.0 16V 211cv Aut.,2017,dezembro de 2021 ,"R$ 247.450,00"
021350-0,C-250 Sport Coupe 2.0 16V 211cv Aut.,2017,outubro de 2021 ,"R$ 226.801,00"
021350-0,C-250 Sport Coupe 2.0 16V 211cv Aut.,2017,setembro de 2021 ,"R$ 231.430,00"
021040-4,C-240 Elegance 2.4,2000,fevereiro de 2020 ,"R$ 25.653,00"
021203-2,C-280 Avantgarde 3.0 V6 231cv Aut.,2008,dezembro de 2020 ,"R$ 46.969,00"
021203-2,C-280 Avantgarde 3.0 V6 231cv Aut.,2008,janeiro de 2021 ,"R$ 46.971,00"
021005-6,C-280 Classic/Sport,2000,novembro de 2021 ,"R$ 36.265,00"
021040-4,C-240 Elegance 2.4,1999,março de 2020 ,"R$ 23.991,00"
021203-2,C-280 Avantgarde 3.0 V6 231cv Aut.,2008,novembro de 2020 ,"R$ 45.850,00"
