Código FIPE,Modelo,Ano,Mês de Referência,Preço
801014-5,SST 13.5 125cc,1998,maio de 2020 ,"R$ 1.544,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1992,dezembro de 2020 ,"R$ 1.791,00"
801014-5,SST 13.5 125cc,1998,abril de 2020 ,"R$ 1.548,00"
801012-9,JUNIOR 50,1996,abril de 2020 ,"R$ 1.026,00"
801014-5,SST 13.5 125cc,1997,junho de 2021 ,"R$ 1.436,00"
801012-9,JUNIOR 50,1995,novembro de 2021 ,"R$ 1.015,00"
801014-5,SST 13.5 125cc,1998,fevereiro de 2021 ,"R$ 1.508,00"
801014-5,SST 13.5 125cc,1997,fevereiro de 2021 ,"R$ 1.427,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1990,setembro de 2021 ,"R$ 1.720,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1994,julho de 2020 ,"R$ 2.335,00"
801014-5,SST 13.5 125cc,1998,novembro de 2021 ,"R$ 1.606,00"
801020-0,SUPER CITY 125,1994,agosto de 2020 ,"R$ 2.520,00"
801020-0,SUPER CITY 125,1994,junho de 2020 ,"R$ 2.534,00"
801014-5,SST 13.5 125cc,1997,agosto de 2021 ,"R$ 1.474,00"
801014-5,SST 13.5 125cc,1998,julho de 2020 ,"R$ 1.536,00"
801011-0,FORCE 90,1997,abril de 2020 ,"R$ 1.677,00"
801020-0,SUPER CITY 125,1994,março de 2020 ,"R$ 2.555,00"
801020-0,SUPER CITY 125,1994,setembro de 2020 ,"R$ 2.513,00"
801020-0,SUPER CITY 125,1994,junho de 2021 ,"R$ 2.635,00"
801020-0,SUPER CITY 125,1994,novembro de 2021 ,"R$ 2.790,00"
801014-5,SST 13.5 125cc,1997,julho de 2020 ,"R$ 1.455,00"
801016-1,SUPER CITY 150,1996,dezembro de 2021 ,"R$ 4.568,00"
801020-0,SUPER CITY 125,1994,dezembro de 2021 ,"R$ 2.799,00"
801020-0,SUPER CITY 125,1994,maio de 2021 ,"R$ 2.463,00"
801014-5,SST 13.5 125cc,1998,outubro de 2020 ,"R$ 1.524,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1993,julho de 2020 ,"R$ 2.035,00"
801014-5,SST 13.5 125cc,1992,setembro de 2021 ,"R$ 978,00"
801014-5,SST 13.5 125cc,1998,janeiro de 2021 ,"R$ 1.512,00"
801014-5,SST 13.5 125cc,1996,julho de 2020 ,"R$ 1.282,00"
801014-5,SST 13.5 125cc,1997,novembro de 2021 ,"R$ 1.519,00"
801014-5,SST 13.5 125cc,1995,julho de 2020 ,"R$ 1.138,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1992,julho de 2020 ,"R$ 1.816,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1991,dezembro de 2020 ,"R$ 1.726,00"
801014-5,SST 13.5 125cc,1996,novembro de 2021 ,"R$ 1.334,00"
801014-5,SST 13.5 125cc,1996,março de 2021 ,"R$ 1.250,00"
801014-5,SST 13.5 125cc,1997,outubro de 2020 ,"R$ 1.443,00"
801014-5,SST 13.5 125cc,1996,junho de 2021 ,"R$ 1.262,00"
801014-5,SST 13.5 125cc,1994,dezembro de 2021 ,"R$ 1.115,00"
801020-0,SUPER CITY 125,1994,dezembro de 2020 ,"R$ 2.493,00"
801020-0,SUPER CITY 125,1994,abril de 2021 ,"R$ 2.469,00"
801014-5,SST 13.5 125cc,1997,março de 2020 ,"R$ 1.471,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1991,julho de 2020 ,"R$ 1.751,00"
801014-5,SST 13.5 125cc,1998,dezembro de 2020 ,"R$ 1.516,00"
801014-5,SST 13.5 125cc,1997,fevereiro de 2020 ,"R$ 1.475,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1990,dezembro de 2020 ,"R$ 1.646,00"
801014-5,SST 13.5 125cc,1996,fevereiro de 2021 ,"R$ 1.254,00"
801014-5,SST 13.5 125cc,1996,maio de 2021 ,"R$ 1.244,00"
801014-5,SST 13.5 125cc,1995,maio de 2021 ,"R$ 1.108,00"
801020-0,SUPER CITY 125,1994,outubro de 2021 ,"R$ 2.781,00"
801014-5,SST 13.5 125cc,1995,fevereiro de 2021 ,"R$ 1.117,00"
801014-5,SST 13.5 125cc,1997,dezembro de 2020 ,"R$ 1.435,00"
801014-5,SST 13.5 125cc,1991,setembro de 2021 ,"R$ 934,00"
801016-1,SUPER CITY 150,1995,dezembro de 2021 ,"R$ 4.312,00"
801016-1,SUPER CITY 150,1996,setembro de 2021 ,"R$ 4.474,00"
801014-5,SST 13.5 125cc,1995,junho de 2021 ,"R$ 1.124,00"
801012-9,JUNIOR 50,1996,janeiro de 2021 ,"R$ 999,00"
801011-0,FORCE 90,1997,dezembro de 2020 ,"R$ 1.642,00"
801014-5,SST 13.5 125cc,1996,dezembro de 2020 ,"R$ 1.262,00"
801014-5,SST 13.5 125cc,1990,setembro de 2021 ,"R$ 892,00"
801014-5,SST 13.5 125cc,1995,dezembro de 2020 ,"R$ 1.123,00"
801020-0,SUPER CITY 125,1994,fevereiro de 2021 ,"R$ 2.481,00"
801010-2,FORCE 50,1998,abril de 2021 ,"R$ 1.566,00"
801014-5,SST 13.5 125cc,1998,junho de 2020 ,"R$ 1.540,00"
801020-0,SUPER CITY 125,1994,maio de 2020 ,"R$ 2.541,00"
801020-0,SUPER CITY 125,1994,setembro de 2021 ,"R$ 2.744,00"
801014-5,SST 13.5 125cc,1995,novembro de 2021 ,"R$ 1.188,00"
801014-5,SST 13.5 125cc,1996,fevereiro de 2020 ,"R$ 1.302,00"
801020-0,SUPER CITY 125,1994,janeiro de 2020 ,"R$ 2.569,00"
801014-5,SST 13.5 125cc,1997,janeiro de 2021 ,"R$ 1.431,00"
801014-5,SST 13.5 125cc,1997,maio de 2020 ,"R$ 1.463,00"
801014-5,SST 13.5 125cc,1994,julho de 2020 ,"R$ 1.068,00"
801016-1,SUPER CITY 150,1994,dezembro de 2021 ,"R$ 3.859,00"
801014-5,SST 13.5 125cc,1996,outubro de 2020 ,"R$ 1.270,00"
801014-5,SST 13.5 125cc,1994,novembro de 2021 ,"R$ 1.112,00"
801014-5,SST 13.5 125cc,1995,fevereiro de 2020 ,"R$ 1.153,00"
801014-5,SST 13.5 125cc,1993,dezembro de 2021 ,"R$ 1.054,00"
801014-5,SST 13.5 125cc,1996,março de 2020 ,"R$ 1.298,00"
801014-5,SST 13.5 125cc,1995,março de 2020 ,"R$ 1.150,00"
801014-5,SST 13.5 125cc,1996,janeiro de 2021 ,"R$ 1.258,00"
