Código FIPE,Modelo,Ano,Mês de Referência,Preço
515032-9,16-170 BT 2p (diesel),1998,setembro de 2020 ,"R$ 47.341,00"
515151-1,15-190 E Worker 2p (diesel)(E5),2017,novembro de 2021 ,"R$ 177.018,00"
515032-9,16-170 BT 2p (diesel),1997,outubro de 2021 ,"R$ 54.443,00"
515030-2,16-170 2p (diesel),1997,agosto de 2021 ,"R$ 49.579,00"
515032-9,16-170 BT 2p (diesel),1997,setembro de 2021 ,"R$ 54.254,00"
515033-7,16-170 BT 3-Eixos 2p (diesel),1997,fevereiro de 2021 ,"R$ 52.655,00"
515031-0,16-170 3-Eixos 2p (diesel),1997,setembro de 2021 ,"R$ 56.995,00"
515036-1,16-200 2p (diesel),1998,janeiro de 2021 ,"R$ 53.440,00"
515036-1,16-200 2p (diesel),1998,março de 2021 ,"R$ 55.174,00"
515036-1,16-200 2p (diesel),1998,dezembro de 2020 ,"R$ 53.569,00"
515036-1,16-200 2p (diesel),1998,fevereiro de 2021 ,"R$ 55.307,00"
515032-9,16-170 BT 2p (diesel),1997,agosto de 2021 ,"R$ 52.777,00"
515036-1,16-200 2p (diesel),1998,outubro de 2020 ,"R$ 53.828,00"
515036-1,16-200 2p (diesel),1998,novembro de 2020 ,"R$ 53.698,00"
515037-0,16-200 3-Eixos 2p (diesel),1998,maio de 2021 ,"R$ 58.665,00"
515038-8,16-210 2p (diesel),1989,outubro de 2020 ,"R$ 30.810,00"
515038-8,16-210 2p (diesel),1990,setembro de 2020 ,"R$ 31.795,00"
515036-1,16-200 2p (diesel),1998,setembro de 2020 ,"R$ 52.650,00"
515044-2,16-220 Turbo 2p (diesel),2000,outubro de 2020 ,"R$ 75.925,00"
515037-0,16-200 3-Eixos 2p (diesel),1998,abril de 2021 ,"R$ 58.813,00"
515033-7,16-170 BT 3-Eixos 2p (diesel),1997,dezembro de 2020 ,"R$ 52.632,00"
515039-6,16-210 3-Eixos 2p (diesel),1989,outubro de 2020 ,"R$ 43.675,00"
515037-0,16-200 3-Eixos 2p (diesel),1998,fevereiro de 2021 ,"R$ 59.109,00"
515038-8,16-210 2p (diesel),1989,agosto de 2020 ,"R$ 30.904,00"
515039-6,16-210 3-Eixos 2p (diesel),1989,setembro de 2020 ,"R$ 43.763,00"
515033-7,16-170 BT 3-Eixos 2p (diesel),1996,janeiro de 2021 ,"R$ 50.903,00"
515039-6,16-210 3-Eixos 2p (diesel),1989,julho de 2020 ,"R$ 43.024,00"
515039-6,16-210 3-Eixos 2p (diesel),1989,agosto de 2020 ,"R$ 43.851,00"
515042-6,16-210 H 2p (diesel),1989,novembro de 2020 ,"R$ 35.963,00"
515046-9,16-300 Turbo 2p (diesel),2000,janeiro de 2020 ,"R$ 76.844,00"
515042-6,16-210 H 2p (diesel),1989,janeiro de 2021 ,"R$ 35.839,00"
515042-6,16-210 H 2p (diesel),1989,dezembro de 2020 ,"R$ 35.901,00"
515113-9,16-210 H 3-Eixos 2p (diesel),1989,agosto de 2020 ,"R$ 44.428,00"
515113-9,16-210 H 3-Eixos 2p (diesel),1989,abril de 2020 ,"R$ 43.855,00"
515045-0,16-300 T 3-Eixos 2p (diesel),1999,janeiro de 2020 ,"R$ 75.112,00"
